,学科,序号,Unnamed: 2,期刊名称 期 刊 信 息,Unnamed: 4,联系电话
369,,3,心理科学进展,中国科学院心理研究所(100101),(010)64850861,
370,,4,心理科学,上海市中山北路3663号(200062),(021)62232236,
371,,5,心理与行为研究,"天津市河西区卫津路241号,天津师范大学南院106号信箱(300074)",(022)23541213,
372,,6,中国临床心理学杂志,湖南省长沙市人民路139号(410011),,
373,,7,应用心理学,杭州市天目山路148号浙江大学西溪校区(310028),(0571)88273352,
374,学与传播学(15,1,编辑学报,北京右安门外首都医科大学(100069),(010)83911346,
375,2,新闻与传播研究,北京2011信箱(100026),(010)65940579,,
376,3,中国科技期刊研究,"北京中关村,中国科学院微生物研究所(100080)",(010)62572403,,
377,4,国际新闻界,北京市中关村大街59号(100872),(010)82509362,,
378,5,现代传播:中国传媒大学学报,北京市朝阳区定福庄东街1号(100024),(010)65779586,,
379,6,编辑之友,太原市建设南路15号出版大厦(030012),(0351)4922194,,
380,7,新闻记者,上海市延安中路839号(200040),(021)62791234,,
381,) 8,新闻大学,上海市邯郸路440号复旦大学新闻学院(200433),(021)6564363055664705,,
382,9,科技与出版,北京市清华大学出版社(100084),(010)62794473,,
383,10,出版科学,武汉市珞珈山武汉大学信息管理学院(430072),(027)68753799,,
384,11,出版发行研究,北京市丰台区三路居路97号(100073),(010)51259132,,
385,12,中国出版,北京市朝阳区2350信箱(100023),(010)87320413,,
386,13,当代传播,乌鲁木齐市扬子江路1号(830051),(0991)5593316,,
387,14,编辑学刊,上海市建国西路384弄11号甲(200020),(021)64740475-1015,,
388,15,中国广播电视学刊,北京市复兴门外大街2号(100866),(010)8609345886091971,,
389,1,音乐研究,北京市翠微路2号(100036),(010)6815260568210291,,
390,2,文艺研究,北京市朝阳区惠新北里甲1号(100029),(010)64934162,,
391,3,中央音乐学院学报,北京市鲍家街43号(100031),(010)66417541,,
392,4,中国音乐学,北京市朝阳区惠新北里甲1号(100029),(010)64933343,,
393,5,民族艺术,广西南宁市民主路11-4号(530023),(0771)5621053,,
394,6,电影艺术,北京市北三环东路22号(100013),(010)64296227,,
395,7,黄钟:武汉音乐学院学报,中国武汉市武昌解放路255号(430060),(027)88068303,,
396,8,音乐艺术:上海音乐学院学报,上海市汾阳路20号(200031),(021)64319166,,
397,9,当代电影,北京市海淀区小西天文慧园路3号(100082),(010)62254422-2810  62223193,,
398,10,中国音乐,北京市朝阳区德外丝竹园(100101),(010)64887378,,
399,11,民族艺术研究,昆明市南太桥文化科技大楼11楼(650021),(0871)3161975,,
400,12,浙江艺术职业学院学报,浙江省杭州市滨江区滨文路518号(310053),(0571)87150122,,
401,13,人民音乐,北京市农展馆南里10号(100026),(010)6506661865389266,,
402,14,中国电视,北京市复兴门外大街2号(100866),(010)86091429,,
403,15,北京电影学院学报,北京市海淀区西土城路4号(100088),(010)82283412,,
404,16,音乐探索,四川省成都市新生路6号(610021),(028)85430275,,
405,17,戏剧:中央戏剧学院学报,北京市东棉花胡同39号(100710),(010)64056580,,
406,18,交响,陕西省西安市长安中路108号(710061),(029)85217708,,
407,19,南京艺术学院学报(音乐与表演版),江苏省南京市虎距北路15号(210013),(025)83719292,,
408,1,外语教学与研究(北京外国语大学学报),北京市西三环北路2号(100089),(010)88816466,,
409,2,现代外语,广州市白云大道北2号广东外语外贸大学(510420),(020)36207235,,
410,3,当代语言学,北京市建国门内大街5号(100732),(010)85195392,,
411,4,中国语文,北京市建国门内大街5号中国语文杂志社(100732),(010)8519537365125849,,
412,5,外国语:上海外国语大学学报,上海市大连西路550号(200083),(021)65420358,,
413,6,外语界,上海市大连西路558号(200083),(021)5539617565425300,,
414,7,中国翻译,北京市阜外百万庄大街24号(100037),(010)6832720968995951,,
415,8,中国外语,北京市西城区德外大街4号100011,(010)58581936\37,,
416,9,世界汉语教学,北京海淀区学院路15号(100083),(010)82303689,,
417,10,方言,北京市建国门内大街5号(100732),(010)85195390,,
418,11,语言教学与研究,北京市海淀区学院路15号(100083),(010)8230357582303573,,
419,12,外语与外语教学,大连市中山区延安路94号(116002),(0411)82563258,,
420,13,外语电化教学,上海大连西路550号366信箱(200083),(021)65311900-2514,,
421,14,外语教学,陕西省西安市长安南路437号(710061),(029)8526135085309400,,
422,15,语言研究,武汉市珞瑜路1037号(430074),(027)87543253,,
423,16,语言科学,江苏徐州师范大学215信箱(221116),0516-3403513,,
424,17,国外外语教学,上海市中山北路3663号(200062),(021)62233632,,
425,18,民族语文,北京市中关村南大街27号(100081),(010)68932381,,
426,19,外语学刊,哈尔滨市南岗区学府路74号(150080),(0451)86608322,,
427,20,解放军外国语学院学报,河南洛阳解放军外国语学院 (471003),(0379)64543520,,
428,21,汉语学习,吉林省延吉市公园路977号(133002),(0433)2732219,,
429,,22,语言文字应用,北京市朝内南小街51号(100010),(010)65130351,
430,哲  学(12种),1,哲学研究,北京市建国门内大街5号(100732),(010)85195528,
431,2,世界哲学,北京市建国门内大街5号(100732),(010)85195533,,
432,3,自然辩证法研究,北京市海淀区学院南路86号(100081),(010)62103265,,
433,4,自然辩证法通讯,北京市玉泉路19号甲中国科学院(100049),(010)88256007,,
434,5,哲学动态,北京市建国门内大街5号(100732),(010)85195517,,
435,6,中国哲学史,北京市建国门内大街5号(100732),(010)85195528,,
436,7,现代哲学,广州市新港西路135号中山大学,(020)8411402184114924,,
437,8,科学技术与辩证法,山西省太原市坞城路36号(030006),(0351)7011922,,
438,9,道德与文明,天津市南开区迎水道7号(300191),(022)23075325,,
439,10,孔子研究,山东济南市舜耕路46号(250002),(0531)82732510,,
440,11,周易研究,济南山东大学东校区(原山东大学新校)(250100),(0531)8836482988564829,,
441,12,伦理学研究,湖南长沙麓山南路36号(410081),(0731)8872086,,
442,1,世界经济与政治,北京市建国门内大街5号(100732),(010)85195784,,
443,2,欧洲研究,北京市建国门内大街5号1454室(100732),(010)65135017,,
444,3,政治学研究,北京市东城区建国门内大街5号(100732),(010)65136660,,
445,4,美国研究,北京市东城区张自忠路3号东院(100007),(8610)64000071,,
446,5,现代国际关系,北京市海淀区万寿寺甲2号(100081),(010)88547322,,
447,6,国际问题研究,北京市东城区台基厂头条3号(100005),(010)85119558,,
448,7,国家行政学院学报,北京市海淀区长春桥路6号国家行政学院(100089),(010)6892934568928913,,
449,8,当代亚太,北京市东城区张自忠路3号东院(100007),(010)64063921,,
450,9,青年研究,北京市建国门内大街5号(100732),(010)85195565,,
451,10,求是,北京市北河沿大街甲83号(100727),(010)64037005,,
452,11,国际论坛,北京市西三环北路2号(100089),(010)88814778,,
453,12,日本学刊,北京市东城区张自忠路3号东院(100007),(010)64039045,,
454,13,国际观察,上海市大连西路550号科研楼711室(200083),(021)6542394665311900,,
455,14,南洋问题研究,厦门大学东南亚研究中心(361005),(0592)2186414,,
456,15,台湾研究集刊,厦门大学台湾研究所(361005),(0592)2184721,,
457,16,俄罗斯中亚东欧研究,北京市张自忠路3号东院(100007),(010)64039120,,
458,17,太平洋学报,汕头大学法学院(515063),(0754)290338762121082,,
459,18,中共中央党校学报,北京市海淀区大有庄100号(100091),(010)62806124,,
460,19,北京行政学院学报,北京市车公庄大街6号(100044),(010)68007412,,
461,20,中共党史研究,北京市海淀区北四环西路69号(100080),(010)8261533082615332,,
462,21,东北亚论坛,长春市前进大街2699号(130012),(0431)8516639685166392,,
463,22,上海行政学院学报,上海市虹曹南路200号(200233),(021)64363041,,
464,23,新视野,北京市车公庄大街6号(100044),(010)68007097,,
465,24,江苏行政学院学报,南京市建邺路168号(210004),(025)84200709,,
466,25,东南亚研究,广州石牌暨南大学文学院楼四楼(510630),(020)85226122,,
467,,26,外交评论:外交学院学报,北京市西城区展览路24号(100037),(010)68323972,
468,,27,德国研究,上海市四平路1239号(200092),(021)65980918,
469,,28,台湾研究,北京市海淀区中关村东路21号(100083),(010)82864912,
470,,29,拉丁美洲研究,北京市东城区张自忠路3号东院(100007),(010)6403900664039131,
471,,30,国际政治研究,北京市海淀区北京大学校内国际关系学院(100871),(010)62755560,
472,,31,党史研究与教学,福州市柳河路61号(350001),(0591)83792054,
473,,32,妇女研究论丛,北京市建国门内大街15号(100730),(010)65103472-2812,
474,,33,党的文献,北京市西城区前毛家湾一号(100017),(010)8308794483087309,
475,,34,求实,中国·南昌市八一大道212号(330003),(0791)6303124,
476,,35,东南亚纵横,广西南宁市新竹路5号(530022),(0771)5860584,
477,,36,南亚研究季刊,四川大学南亚研究所(610064),(028)85416878,
478,,37,理论与改革,成都市光华村街43号(610072),(028)87351101,
479,,38,日本研究,沈阳市皇姑区崇山中路66号(110036),(024)62202254,
480,,39,西亚非洲,北京市东城区张自忠路3号东院(100007),(010)64039172,
481,国 文 学(15种,1,文学评论,北京市建国门内大街5号(100732),(010)65264557,
482,,2,文学遗产,北京市建国门内大街5号(100732),(010)85195453,
483,,3,文艺争鸣,长春市自由大路509号(130021),(0431)85643867,
484,,4,文艺理论研究,上海中山北路3663号华东师范大学(200062),,
485,,5,当代作家评论,沈阳市大东区小北关街31号(110041),(024)88501513,
486,,6,中国现代文学研究丛刊,北京市朝阳区文学馆路45号(100029),(010)84615522-1114,
487,,7,中国比较文学,上海市大连西路550号上海外国语大学(200083),(021)65311900-2625,
488,,8,文艺理论与批评,北京朝阳区惠新北里甲1号(100029),(010)64935584,
489,,9,小说评论,西安市建国路83号(710001),(029)87428615,
490,,10,鲁迅研究月刊,北京市阜内大街宫门口二条十九号(100034),(010)66165647,
491,,11,民族文学研究,北京市建内大街5号(100732),(010)8519562785195634,
492,,12,南方文坛,广西南宁市建政路28号(530023),(0771)56244245623613,
493,,13,新文学史料,北京市朝内大街166号(100705),(010)65252161,
494,,14,红楼梦学刊,北京市朝阳区惠新北里甲1号(100029),(010)64813287,
495,,15,明清小说研究,南京市虎踞北路12号(210013),(025)83391043,
496,宗 教 学(4种),1,世界宗教研究,北京市建国门内大街5号(100732),(010)65138393,
497,2,宗教学研究,成都·四川大学文科楼(610064),(028)85412221,,
498,3,中国宗教,北京市西城区后海北沿44号院(100009),(010)6409521264095206,,
499,4,世界宗教文化,北京市建国门内大街5号(100732),(010)65138393,,
500,1,中国社会科学,北京鼓楼西大街甲158号(100720),(010)64076113,,
501,2,读书,北京美术馆东街22号(100010),(010)8404403084050453,,
502,3,国外社会科学,北京建国门内大街5号(100732),(010)65137749,,
503,4,学术月刊,上海市淮海中路622弄7号(乙)(200020),(021)5306908053061937,,
504,5,天津社会科学,天津市南开区迎水道7号(300191),(022)23369296,,
505,6,浙江社会科学,杭州市省府2号楼(310025),(0571)87053204,,
506,7,江海学刊,南京虎踞北路12号(210013),(025)83715429,,
507,8,南京社会科学,南京市成贤街43号(210018),(025)83611547,,
508,9,社会科学,上海市淮海中路622弄7号337室(200020),(021)53062234,,
509,10,开放时代,广州市白云区新市街云安路119号(510410),(020)86464940,,
510,11,江苏社会科学,南京山西路120号国贸大厦16层(210009),(025)83321531,,
511,12,文史哲,济南市山大南路27号(250100),(0531)88364666,,
512,13,学术研究,广州市黄华路四号之二(510050),(020)83846163,,
513,14,社会科学战线,长春市自由大路5399号(130033),(0431)4638362,,
514,15,浙江学刊,浙江省省府大院2号楼(310025),(0571)87057581,,
515,16,社会科学研究,成都市—环路西一段155号(610071),(028)87013623,,
516,17,人文杂志,中国西安含光南路177号(710065),(029)85255981,,
517,18,东南学术,福州市柳河路18号(350001),(0591)83739507,,
518,19,河北学刊,石家庄市裕华西路67号(050051),(0311)8303244083024866,,
519,20,学术界,合肥望江东路社科大楼(230051),(0551)3422973,,
520,21,学习与探索,哈尔滨市南岗区联发街62号(150001),(0451)86242279,,
521,22,思想战线,昆明市翠湖北路2号(650091),(0871)5033249,,
522,23,北京社会科学,北京市北四环中路33号(100101),(010)64870591,,
523,24,江汉论坛,武汉市武昌东湖路165号(430077),(027)86789435,,
524,25,社会科学辑刊,沈阳市皇姑区泰山路86号(110031),(024)86120485,,
525,26,中州学刊,郑州市文化路50号(450002),(0371)63836785,,
526,27,福建论坛(人文社会科学版),福州市柳河路18号(350001),(0591)83791487,,
527,28,内蒙古社会科学,呼和浩特市大学东街129号(010010),(0471)49634314912276,,
528,29,云南社会科学,昆明环城西路577号(650034),(0871)4154719,,
529,30,中国社会科学院研究生院学报,北京市朝阳区望京中环南路1号(100102),(010)64722354,,
530,31,科学对社会的影响,北京海淀区中关村东路55号(100080),(010)62542630,,
531,32,学术论坛,广西南宁市新竹路5号(530022),(0771)5860201,,
532,33,宁夏社会科学,宁夏银川市西夏区(750021),(0951)2074593,,
533,34,广东社会科学,中国广州市天河北路369号(510610),(020)38801447,,
534,35,社会科学家,广西壮族自治区桂林市西山路6号(541001),(0773)2898540,,
535,36,甘肃社会科学,兰州市安宁区健康路143号(730070),(0931)7763141,,
536,37,东岳论丛,山东省济南市舜耕路56号(250002),(0531)2704572,,
537,38,学海,南京市虎踞北路12号(210013),(025)83391490,,
538,39,探索与争鸣,上海市淮海中路622弄7号社联大楼401室(200020),(021)53060418,,
539,40,中国文化研究,中国北京海淀区学院路15号(100083),(010)82303701,,
540,41,求索,长沙市德雅村(410003),(0731)4223870,,
541,42,山东社会科学,济南市舜耕路46号(250002),(0531)82866365,,
542,43,天府新论,成都市大石西路科联街19号(610071),(028)82973512,,
543,,,黑龙江省哈尔滨市南岗区联发街64号,,,
544,44,学术交流,,(0451)86234711,,
545,,,(150001),,,
546,45,江西社会科学,南昌市洪都北大道649号(330077),(0791)8596531,,
547,46,科学·经济·社会,甘肃省兰州市兰州大学0031信箱(730000),(0931)8913749,,
548,47,西藏研究,西藏拉萨市色拉路22号(850000),(0891)6323638,,
549,,,,(0991)3837942,,
550,48,新疆社会科学,乌鲁木齐市北京南路16号(830011),,,
551,,,,383793737,,
552,,,,(0971)8455791,,
553,49,青海社会科学,青海省西宁市上滨河路1号(810000),,,
554,,,,8450562,,
555,50,贵州社会科学,贵阳市梭石巷95号(550002),(0851)5928568,,
